,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
119,Halloween-themed treat bags,Holiday-Halloween,"Get in the spooky spirit with our Halloween-themed treat bags! Perfect for collecting candy on Halloween night or for handing out treats at a Halloween party. Each bag features a festive and fun Halloween design, making them the perfect addition to any trick-or-treater's costume. Fill them with your favorite sweets and surprises for a truly memorable Halloween experience.",$3.06,877,Non-Vegan,Non-Gluten-Free
120,Chocolate Easter Bunny,Holiday-Easter,"Indulge in the sweet delight of our Chocolate Easter Bunny! This delectable treat is the perfect addition to any Easter basket, with its rich and creamy chocolatey goodness. Whether you're celebrating with friends or family, our Chocolate Easter Bunny is sure to be a hit with chocolate lovers of all ages. Hop into the holiday spirit with this adorable and delicious treat!",$3.94,921,Vegan,Gluten-Free
121,Easter Egg Decorating Kit,Holiday-Easter,"Get ready for Easter with our Easter Egg Decorating Kit! This kit includes everything you need to create beautifully decorated Easter eggs, including dyes, stickers, and a variety of tools for creating unique designs. Perfect for a fun and creative activity with the whole family, this kit is sure to bring joy and color to your Easter celebration.",$1.19,979,Non-Vegan,Non-Gluten-Free
122,Marshmallow Peeps,Holiday-Easter,"Marshmallow Peeps are a classic Easter candy that brings joy and sweetness to the holiday season. These adorable, brightly colored marshmallow treats are perfect for filling Easter baskets or adding a festive touch to any celebration. Enjoy the soft, pillowy texture and delightful sugary flavor of Marshmallow Peeps as you celebrate the Easter holiday.",$2.34,129,Vegan,Gluten-Free
123,Cadbury Mini Eggs,Holiday-Easter,"Cadbury Mini Eggs are a delicious Easter treat that feature a crunchy candy shell and smooth milk chocolate center. These bite-sized eggs are perfect for Easter egg hunts, filling baskets, or simply enjoying as a festive snack. Whether you eat them by the handful or use them to decorate your Easter desserts, Cadbury Mini Eggs are a must-have for the holiday season.",$3.69,129,Vegan,Gluten-Free
124,Easter Basket,Holiday-Easter,"The Easter Basket is filled with a variety of goodies perfect for the holiday, including chocolate eggs, jelly beans, marshmallow chicks, and other assorted candies. It also includes a plush bunny and decorative grass for a festive touch. Perfect for gift-giving or as a centerpiece for your Easter celebration.",$3.11,910,Non-Vegan,Non-Gluten-Free
125,Easter Grass,Holiday-Easter,"Easter Grass is a festive and colorful holiday product that is perfect for filling Easter baskets and adding a touch of springtime charm to your decorations. Made of soft, green paper strands, Easter Grass creates a fun and lively base for your Easter treats and gifts. It's an essential addition to any Easter celebration, adding a pop of color and whimsy to the holiday festivities.",$4.41,340,Non-Vegan,Non-Gluten-Free
126,Jelly Beans,Holiday-Easter,"Indulge in the colorful and sweet treat of Jelly Beans this Easter season. This classic holiday favorite is a delicious blend of fruity flavors that will delight both kids and adults alike. Perfect for filling Easter baskets or for snacking on during Easter egg hunts, Jelly Beans are a must-have for the festive celebrations.",$2.95,342,Non-Vegan,Non-Gluten-Free
127,Plastic Easter Eggs,Holiday-Easter,"Get ready for Easter egg hunts and Easter basket surprises with these vibrant Plastic Easter Eggs! These durable and reusable eggs come in a variety of bright colors and are perfect for filling with candies, small toys, or other treats. Whether you're hosting an Easter celebration or looking for a fun activity for the kids, these Plastic Easter Eggs are a must-have for the holiday season.",$4.74,648,Non-Vegan,Gluten-Free
128,Easter Candy,Holiday-Easter,"Indulge in the sweetness of the season with our Easter Candy. Our assorted selection includes classic chocolate eggs, colorful marshmallow bunnies, and delightful jelly beans, perfect for filling Easter baskets and satisfying cravings. Enjoy these delicious treats during egg hunts and festive gatherings to add a touch of sweetness to your celebrations.",$2.98,428,Vegan,Gluten-Free
129,Easter-themed Chocolate Bars,Holiday-Easter,"Indulge in the sweetness of the season with our Easter-themed Chocolate Bars. Each bar is crafted with rich, creamy chocolate and adorned with festive Easter designs, making them the perfect treat for filling Easter baskets or serving at holiday gatherings. Whether enjoyed as a snack or as part of a delicious dessert, these chocolate bars are sure to bring holiday cheer to your celebrations.",$1.23,369,Non-Vegan,Non-Gluten-Free
130,Champagne,Holiday-NewYear,"Celebrate the New Year in style with our premium Champagne. This bubbly and elegant drink is the perfect way to toast to the holiday season and ring in a new year. Made from the finest grapes and crafted with precision, our Champagne is sure to add a touch of luxury to any festive gathering. Cheers to a memorable and joyous holiday season with a glass of our exquisite Champagne.",$3.72,275,Vegan,Gluten-Free
131,Party hats,Holiday-NewYear,"Get ready to ring in the New Year in style with these fun and festive party hats! Whether you're hosting a New Year's Eve bash or just looking to add some extra flair to your holiday celebrations, these party hats are the perfect accessory. With a variety of colors and designs, there's something for everyone to wear as you countdown to midnight and welcome the start of a new year. Make your holiday festivities a little more merry and bright with these cheerful party hats.",$3.52,416,Non-Vegan,Gluten-Free
132,Sparklers,Holiday-NewYear,"Get ready to light up the night with our dazzling Sparklers! Perfect for New Year's Eve celebrations, these festive handheld fireworks will add a touch of magic to your holiday festivities. With their sparkling light and crackling sound, our Sparklers are sure to create unforgettable memories as you ring in the new year. So grab a pack and let the sparks fly!",$3.34,139,Vegan,Gluten-Free
133,Confetti,Holiday-NewYear,"Confetti is the ultimate party essential for ringing in the New Year! This pack of colorful, shiny paper squares is perfect for adding a festive touch to your holiday celebration. Sprinkle it on tables, include it in party invitations, or toss it in the air when the clock strikes midnight. Confetti brings joy and excitement to any New Year's gathering.",$2.37,512,Vegan,Non-Gluten-Free
134,New Year's Eve party kit,Holiday-NewYear,"Get ready to ring in the New Year with our New Year's Eve party kit! This all-in-one package includes everything you need to throw the ultimate celebration, including festive decorations, party favors, and New Year's themed accessories. Whether you're hosting a large gathering or an intimate get-together, this kit has got you covered. Start the year off right and make your New Year's Eve memorable with our party kit.",$4.28,766,Vegan,Gluten-Free
135,Party poppers,Holiday-NewYear,"Get ready to ring in the New Year with a bang with our party poppers! These colorful and festive decorations are perfect for adding some extra excitement to your holiday celebrations. Simply twist and pull the string to release a shower of confetti and streamers, creating a fun and festive atmosphere for your New Year's Eve party. Make your gatherings memorable with our party poppers!",$1.12,924,Vegan,Non-Gluten-Free
136,Festive napkins,Holiday-NewYear,"Festive napkins are the perfect addition to any holiday or New Year celebration. These beautifully designed napkins feature vibrant and cheerful holiday-themed patterns, adding a touch of festive flair to any table setting. Made from high-quality materials, these napkins are both durable and absorbent, making them ideal for use during holiday meals and gatherings. Let these festive napkins add a pop of color and holiday spirit to your next celebration.",$2.92,753,Non-Vegan,Gluten-Free
137,Disposable champagne flutes,Holiday-NewYear,"Ring in the new year with convenience and style with our Disposable Champagne Flutes. Made with durable and recyclable plastic, these flutes are perfect for serving champagne at holiday parties and New Year's Eve celebrations. Say goodbye to the hassle of cleaning up broken glass and hello to effortless entertaining with our convenient and elegant disposable champagne flutes. Cheers to a sparkling holiday season!",$1.26,194,Vegan,Gluten-Free
138,New Year's decorations,Holiday-NewYear,"Celebrate the New Year in style with our stunning New Year's decorations! From sparkling banners and confetti to elegant table centerpieces and festive party hats, our decorations will bring a touch of glamour and excitement to your New Year's Eve celebration. Perfect for adding a festive touch to your home, office, or party venue, these decorations will create a memorable atmosphere for ringing in the new year with friends and loved ones.",$3.48,959,Vegan,Gluten-Free
139,Noise makers,Holiday-NewYear,"""Get the party started with our vibrant and festive noise makers! Perfect for New Year's Eve celebrations and holiday gatherings, these colorful and fun accessories add an extra level of excitement to any event. Whether you're ringing in the New Year or celebrating the festive season, our noise makers are the perfect addition to your party supplies.""",$1.44,659,Non-Vegan,Gluten-Free
140,Happy Diwali Greeting Cards,Holiday-Diwali,"Celebrate the joyous festival of Diwali with our exquisite Happy Diwali Greeting Cards. These beautifully designed cards are perfect for sending warm wishes and blessings to your loved ones during this special time. Each card features vibrant colors and intricate artwork, making them a delightful way to spread happiness and good fortune. Share the spirit of Diwali with our heartfelt Greeting Cards.",$2.48,398,Vegan,Gluten-Free
141,Diwali Diyas (Clay Lamps),Holiday-Diwali,"Celebrate the Festival of Lights in traditional style with our Diwali Diyas (Clay Lamps). Handcrafted with care, these beautiful diyas are perfect for adding a warm and inviting glow to your home during Diwali. Made from high-quality clay, they are the perfect addition to your festive decor and make for a thoughtful gift for friends and family. Illuminate your home with these timeless symbols of peace and hope.",$4.13,686,Vegan,Gluten-Free
142,Diwali Decorative Lights,Holiday-Diwali,"Add a touch of sparkle and joy to your Diwali celebrations with our Diwali Decorative Lights. These beautiful and colorful lights are perfect for decorating your home, office, or outdoor space during the Festival of Lights. Create a warm and inviting ambiance with these stunning lights that will surely enhance the festive atmosphere. Let the spirit of Diwali shine bright with our Decorative Lights!",$2.24,349,Vegan,Non-Gluten-Free
143,Diwali Sweets Gift Box,Holiday-Diwali,"Celebrate the festival of lights with our Diwali Sweets Gift Box! This beautifully crafted gift box is filled with an assortment of traditional Indian sweets and treats, perfect for sharing with friends and family. From laddoos to barfis, this gift box is sure to add a touch of sweetness to your Diwali celebrations. Share the joy and abundance of the season with our Diwali Sweets Gift Box.",$2.89,464,Non-Vegan,Non-Gluten-Free
144,Diwali Rangoli Stencils,Holiday-Diwali,"Add a touch of traditional art to your Diwali decorations with these Rangoli stencils. Create beautiful and intricate designs on your floors or walls with ease, bringing the essence of the festival into your home. With a variety of designs to choose from, these stencils make it simple to add a festive and colorful touch to your Diwali celebrations.",$3.36,831,Non-Vegan,Non-Gluten-Free
145,Indian Diwali Sweets Assortment,Holiday-Diwali,"Celebrate the festival of lights with our Indian Diwali Sweets Assortment! This delightful collection includes a variety of traditional Indian sweets such as Gulab Jamun, Kaju Katli, Barfi, and more. Each sweet is carefully crafted with authentic flavors and ingredients, making it the perfect gift or treat for the holiday season. Share the joy of Diwali with our delicious assortment of Indian sweets.",$1.30,503,Non-Vegan,Non-Gluten-Free
146,Diwali Puja Thali (Prayer Plate),Holiday-Diwali,"Celebrate the festival of lights with our exquisite Diwali Puja Thali (Prayer Plate). This beautifully crafted plate is adorned with intricate designs and comes complete with all the essential items for your Diwali puja, including diya, incense holder, kumkum holder, and more. Add a touch of tradition and elegance to your celebrations with this essential Diwali accessory.",$3.93,304,Non-Vegan,Gluten-Free
147,Diwali Sparklers,Holiday-Diwali,"Diwali Sparklers are a festive and fun addition to any Diwali celebration. These vibrant and colorful sparklers add a touch of magic and excitement to the festivities, as they light up the night with their dazzling display of lights. Perfect for adding a sparkle to your Diwali celebrations, these sparklers are sure to bring joy and wonder to all who see them.",$2.93,228,Vegan,Gluten-Free
148,Diwali Incense Sticks,Holiday-Diwali,"Bring the festive scents of Diwali into your home with our Diwali Incense Sticks. These handcrafted incense sticks are made with the finest natural ingredients and essential oils, creating a warm and inviting atmosphere. Whether you're celebrating with loved ones or looking to add a touch of tradition to your holiday decor, these incense sticks are the perfect addition to your Diwali celebrations.",$4.55,633,Non-Vegan,Gluten-Free
149,Diwali Paper Lanterns,Holiday-Diwali,"Add a touch of traditional charm to your Diwali celebrations with our Diwali Paper Lanterns. These beautifully crafted lanterns are perfect for adding warmth and illumination to your home, and they come in an assortment of vibrant colors and intricate designs. Hang them indoors or outdoors to create a festive atmosphere that will delight your family and guests. Celebrate the festival of lights in style with these stunning Diwali Paper Lanterns.",$4.06,554,Non-Vegan,Non-Gluten-Free
150,Hershey's Valentine's Milk Chocolate Bar,Hoiliday-Valentines,"Indulge in the sweetness of love with Hershey's Valentine's Milk Chocolate Bar. Made with creamy milk chocolate and wrapped in festive Valentine's Day packaging, this delectable treat is perfect for sharing with your special someone or enjoying on your own. Let the rich, smooth flavor of Hershey's chocolate make this Valentine's Day one to remember.",$2.21,628,Non-Vegan,Gluten-Free
151,Valentine's Day Greeting Cards,Hoiliday-Valentines,"Express your love and affection with our beautifully designed Valentine's Day greeting cards. Whether you're celebrating with a significant other, a friend, or family member, our cards are the perfect way to show your appreciation and admiration. With a variety of heartfelt messages and captivating designs, our cards are the ideal way to spread love and joy this Valentine's Day.",$2.78,225,Vegan,Non-Gluten-Free
152,Conversation Heart Candies,Hoiliday-Valentines,"Indulge in sweet, Valentine's Day treats with our Conversation Heart Candies. These colorful, heart-shaped candies are perfect for expressing your love and affection with fun, flirty messages. Whether you're sharing them with your sweetheart or passing them out to friends, these festive candies are sure to spread joy and romance on this special holiday.",$3.66,525,Non-Vegan,Non-Gluten-Free
153,Valentine's Day Stuffed Animals,Hoiliday-Valentines,Celebrate Valentine's Day with these adorable Valentine's Day Stuffed Animals! These soft and cuddly critters are perfect for gifting to that special someone or to add a touch of love to your home decor. Choose from a variety of cute and lovable animals to show how much you care this holiday.,$3.58,848,Vegan,Gluten-Free
154,Ghirardelli Valentine's Day Chocolate Gift Box,Hoiliday-Valentines,"The Ghirardelli Valentine's Day Chocolate Gift Box is the perfect treat to show your loved one how much you care. This limited-edition gift box includes an assortment of premium Ghirardelli chocolates, including rich and creamy truffles, silky smooth chocolate squares, and indulgent chocolate bars. Each bite is a decadent experience that will sweeten your Valentine's Day celebration.",$1.11,780,Non-Vegan,Non-Gluten-Free
155,Valentine's Day Gift Bags,Hoiliday-Valentines,"Show your loved ones how much they mean to you with our Valentine's Day Gift Bags. Each bag is filled with delightful treats and surprises, perfect for gifting to anyone special in your life. Spread the love and joy this Valentine's Day with our charming and thoughtful gift bags.",$3.50,709,Vegan,Gluten-Free
156,Valentine's Day Balloons,Hoiliday-Valentines,"Spread love and cheer on Valentine's Day with our Valentine's Day Balloons! These heart-shaped balloons come in a variety of colors and designs, perfect for decorating any romantic celebration. Whether you're surprising your significant other or throwing a Valentine's Day party, these balloons are sure to add a festive touch to the occasion. Show your love in the air with our Valentine's Day Balloons.",$1.38,737,Vegan,Non-Gluten-Free
157,Russell Stover Valentine's Day Assorted Chocolates,Hoiliday-Valentines,"Enjoy the delicious taste of love with Russell Stover Valentine's Day Assorted Chocolates. This assortment features a variety of rich and creamy chocolates, including classic flavors like caramel, nut clusters, and nougat. Each piece is beautifully crafted and packaged in a Valentine's Day-themed box, making it the perfect gift to show your love and appreciation to someone special. Whether you're treating yourself or someone else, these delectable chocolates are sure to sweeten any Valentine's Day celebration.",$3.98,742,Vegan,Non-Gluten-Free
158,Valentine's Day Decorations,Hoiliday-Valentines,"Add a touch of love to your home with our Valentine's Day Decorations. From heart-shaped banners to romantic candle holders, our collection has everything you need to create a cozy and festive atmosphere for this special day. Perfect for adding a little extra love to your Valentine's Day celebrations.",$1.96,658,Non-Vegan,Gluten-Free
159,Valentine's Day Tableware,Hoiliday-Valentines,"Make your Valentine's Day celebration even more special with our Valentine's Day Tableware. This collection features beautifully designed plates, cups, napkins, and decorations all in the theme of love and romance. Set the perfect table for a romantic dinner with your significant other or create a festive atmosphere for a Valentine's Day party with our charming tableware. Let love fill the air with our Valentine's Day Tableware.",$1.21,389,Non-Vegan,Non-Gluten-Free
160,Tyson Fresh Chicken Breast,Meat - Poultry,"Tyson Fresh Chicken Breast is a premium poultry product made from high-quality, all-natural chicken. These boneless and skinless chicken breasts are tender, flavorful, and versatile, perfect for grilling, baking, or sautéing. Each breast is carefully trimmed and individually packaged to ensure freshness and convenience. Whether you're looking to create a delicious weeknight meal or a special dish for a gathering, Tyson Fresh Chicken Breast is the perfect option for any poultry dish.",$2.08,965,Non-Vegan,Gluten-Free
161,Foster Farms Chicken Thighs,Meat - Poultry,"Foster Farms Chicken Thighs are tender and juicy cuts of poultry, perfect for grilling, baking, or frying. With a delicious flavor and high quality, these chicken thighs are a versatile and easy-to-prepare option for your favorite chicken recipes.",$4.47,388,Non-Vegan,Non-Gluten-Free
162,Perdue Whole Chicken,Meat - Poultry,"Perdue Whole Chicken is a high-quality, farm-raised poultry product that is perfect for cooking and serving as a delicious, protein-packed meal. With tender, juicy meat and a rich, natural flavor, this whole chicken is a versatile ingredient that can be roasted, grilled, or used in a variety of recipes. Whether you're preparing a family dinner or hosting a gathering with friends, Perdue Whole Chicken is a convenient and delicious option for any occasion.",$3.62,913,Vegan,Gluten-Free
163,Pilgrim's Pride Chicken Tenders,Meat - Poultry,"Pilgrim's Pride Chicken Tenders are a delicious and convenient protein option. Made from high-quality chicken breast, these tenders are lightly breaded and seasoned for a savory and satisfying flavor. Perfect for any meal or snack, these chicken tenders are sure to be a hit with the whole family.",$1.06,982,Vegan,Non-Gluten-Free
164,Hillshire Farm Turkey Breast,Meat - Poultry,"Hillshire Farm Turkey Breast is a delicious and tender deli meat made from 100% premium turkey breast. Sliced thinly for convenience, this high-quality poultry product is perfect for sandwiches, salads, and snacking. It is seasoned with a blend of herbs and spices for a flavorful and satisfying taste. Enjoy the natural goodness of turkey with Hillshire Farm Turkey Breast.",$1.64,528,Non-Vegan,Gluten-Free
165,Maple Leaf Farms Duck Breast,Meat - Poultry,"Maple Leaf Farms Duck Breast is a premium poultry product known for its rich and flavorful taste. This tender and juicy duck breast is carefully raised and expertly prepared to ensure the highest quality. Perfect for grilling, roasting, or pan-searing, it is an excellent choice for those looking to elevate their poultry dishes and enjoy a delicious, gourmet dining experience.",$4.75,676,Non-Vegan,Non-Gluten-Free
166,Jennie-O Ground Turkey,Meat - Poultry,"Jennie-O Ground Turkey is a lean and versatile poultry product perfect for creating healthier meals. Made from 100% turkey, it is a great alternative to traditional ground beef and can be used in a wide variety of recipes, from tacos and burgers to meatloaf and pasta dishes. With its delicious flavor and low fat content, Jennie-O Ground Turkey is a nutritious choice for anyone looking to reduce their red meat intake without compromising on taste.",$3.00,573,Non-Vegan,Non-Gluten-Free
167,Empire Kosher Whole Chicken,Meat - Poultry,"Empire Kosher Whole Chicken is a high-quality poultry product that is carefully raised and processed to meet the highest standard of kosher preparation. This whole chicken is plump, juicy, and flavorful, making it the perfect centerpiece for any meal. Whether roasted, grilled, or fried, this chicken is sure to be a delicious addition to your family's dinner table.",$4.26,490,Vegan,Non-Gluten-Free
168,Butterball Turkey Drumsticks,Meat - Poultry,"Butterball Turkey Drumsticks are juicy and flavorful cuts of meat that are perfect for a variety of recipes. These lean and tender drumsticks are a great choice for grilling, roasting, or frying, and are versatile enough to be used in everything from soups and stews to salads and sandwiches. Whether you're cooking for a weeknight dinner or a special occasion, Butterball Turkey Drumsticks are a delicious and convenient option that the whole family will love.",$3.78,284,Vegan,Non-Gluten-Free
169,Murray's Chicken Wings,Meat - Poultry,"Murray's Chicken Wings are made from premium, all-natural chicken raised on family-owned farms. These juicy and flavorful wings are perfect for grilling, frying, or baking, and they are sure to be a hit at any party or gathering. With no added hormones or antibiotics, Murray's Chicken Wings offer a delicious and wholesome option for poultry lovers.",$4.89,474,Non-Vegan,Gluten-Free
170,Angus Beef,Meat - Beef,"Angus Beef is a premium meat product known for its marbling, tenderness, and rich flavor. Sourced from Angus cattle, this high-quality beef is perfect for grilling, roasting, or braising, and is a versatile option for any meat lover. Whether used in a steak, burger, or stew, Angus Beef offers a delicious and satisfying dining experience.",$3.87,345,Non-Vegan,Gluten-Free
171,Grass-fed Beef,Meat - Beef,"Grass-fed Beef is a premium meat product sourced from cattle that have been raised on a diet of grass and forage. This natural and sustainable farming practice results in a lean and tender beef with a rich, earthy flavor. Enjoy the superior taste and quality of Grass-fed Beef in your favorite recipes.",$3.76,195,Vegan,Gluten-Free
172,Ribeye Steak,Meat - Beef,"Ribeye Steak is a premium cut of beef known for its rich marbling and juicy, tender texture. It is prized for its intense flavor and luxurious mouthfeel, making it a popular choice for steak lovers. Whether grilled, pan-seared, or broiled, Ribeye Steak is a indulgent and satisfying choice for any meat enthusiast.",$1.97,107,Vegan,Gluten-Free
173,Ground Beef,Meat - Beef,"Ground beef is a versatile and delicious meat product made from finely ground beef. It is perfect for creating a wide variety of savory dishes, from juicy burgers and meatballs to hearty pasta sauces and chili. With its rich flavor and high protein content, ground beef is a popular choice for home cooks and professional chefs alike.",$2.84,687,Non-Vegan,Non-Gluten-Free
174,Sirloin Steak,Meat - Beef,"""Sirloin Steak"" is a premium cut of beef known for its rich, savory flavor and tender, juicy texture. This top-quality meat is carefully sourced and expertly prepared, making it a popular choice for grilling, broiling, or pan-searing. Whether served as a standalone entrée or incorporated into a variety of recipes, Sirloin Steak is sure to impress with its robust taste and fine marbling.",$4.32,452,Non-Vegan,Gluten-Free
175,Beef Tenderloin,Meat - Beef,"Beef Tenderloin is a premium cut of beef known for its exceptional tenderness and rich flavor. This lean and succulent meat is perfect for grilling, pan-searing, or roasting, making it a versatile option for any culinary creation. Whether it's a special occasion or a simple weekday meal, Beef Tenderloin is sure to impress with its quality and exquisite taste.",$2.13,282,Vegan,Gluten-Free
176,Beef Chuck,Meat - Beef,"Beef Chuck is a classic cut of beef known for its rich flavor and tenderness. This product is perfect for slow-cooking or braising, as it becomes incredibly juicy and succulent when cooked low and slow. Whether used for stews, roasts, or shredded for sandwiches, Beef Chuck is a versatile and flavorful choice for any beef lover.",$4.98,952,Non-Vegan,Gluten-Free
177,Beef Ribs,Meat - Beef,"Beef Ribs are succulent and flavorful cuts of meat that come from the rib section of the cow. Known for their rich, juicy flavor and tender texture, these ribs are perfect for grilling, smoking, or slow-cooking. Whether enjoyed as a hearty main course or added to soups and stews for added depth of flavor, beef ribs are a delicious and satisfying choice for any meal.",$1.20,993,Non-Vegan,Gluten-Free
178,Beef Brisket,Meat - Beef,"Beef Brisket is a rich and flavorful cut of beef, perfect for slow cooking and smoking. This tender and juicy meat is known for its delicious, savory flavor and is a staple in barbecue and comfort food dishes. It is a versatile cut that can be used in a variety of recipes, from traditional braised dishes to mouthwatering sandwiches. Whether it's roasted, smoked, or braised, Beef Brisket is sure to satisfy your meat cravings.",$2.48,748,Non-Vegan,Gluten-Free
179,Beef Strip Loin,Meat - Beef,"Beef Strip Loin is a premium cut of meat that is known for its tender, juicy texture and rich, beefy flavor. Perfect for grilling or roasting, this highly marbled strip loin offers a delicious dining experience with every bite. Whether it's for a special occasion or a casual weeknight meal, Beef Strip Loin is a versatile and mouthwatering choice for beef lovers.",$1.30,805,Non-Vegan,Non-Gluten-Free
180,Smithfield Prime Fresh Pork Tenderloin,Meat - Pork,"Smithfield Prime Fresh Pork Tenderloin is a high-quality, flavorful cut of pork that is perfect for any dish. This tenderloin is expertly trimmed and hand-selected for the best marbling and tenderness. Whether you're grilling, roasting, or sautéing, this pork tenderloin is sure to be a delicious, juicy addition to your meal.",$3.50,646,Non-Vegan,Non-Gluten-Free
181,Hormel Always Tender Pork Roast,Meat - Pork,"Hormel Always Tender Pork Roast is a premium, high-quality cut of pork that is always juicy and full of flavor. This tender pork roast is perfect for any occasion, whether it's a family dinner or a gathering with friends. Simply season and roast for a delicious, mouthwatering meal that everyone will love. With Hormel's commitment to excellence, you can always trust that this pork roast will deliver exceptional taste and tenderness.",$3.12,909,Non-Vegan,Gluten-Free
182,Oscar Mayer Selects Natural Applewood Smoked Pork,Meat - Pork,"Oscar Mayer Selects Natural Applewood Smoked Pork is a high-quality pork product that has been slow smoked over real applewood for a rich and savory flavor. Made with all-natural pork and no artificial ingredients, this premium meat has a deliciously smoky taste that is perfect for adding a bold, mouthwatering flavor to any dish. Whether it's used in sandwiches, salads, or as a standalone protein, this pork product is sure to satisfy your cravings for delicious, natural flavor.",$1.20,686,Vegan,Gluten-Free
183,Tyson Fresh Pork Spare Ribs,Meat - Pork,"Tyson Fresh Pork Spare Ribs are a mouthwatering, high-quality cut of meat that is perfect for grilling or slow-cooking. These ribs are tender, juicy, and packed with delicious pork flavor, making them a favorite for barbecue enthusiasts and home cooks alike. Whether you're hosting a summer cookout or simply craving a hearty and satisfying meal, Tyson Fresh Pork Spare Ribs are sure to impress.",$4.31,449,Vegan,Gluten-Free
184,Farmland All Natural Pork Shoulder,Meat - Pork,"Farmland All Natural Pork Shoulder is a succulent and flavorful cut of pork, perfect for roasting, grilling, or slow cooking. Raised without any added hormones or antibiotics, this premium pork shoulder offers a rich, juicy taste that is sure to satisfy any meat lover. Whether you're making pulled pork sandwiches, hearty soups, or savory stews, Farmland All Natural Pork Shoulder is the ideal choice for delicious, high-quality pork.",$3.66,583,Non-Vegan,Gluten-Free
185,Hatfield Hardwood Smoked Thick Cut Bacon,Meat - Pork,"Hatfield Hardwood Smoked Thick Cut Bacon is a savory and delicious pork product that is perfect for breakfast or adding a smoky, savory flavor to any dish. It is made with high-quality cuts of pork and is expertly smoked with hardwood for a rich and robust flavor. Each slice is thick and meaty, providing a satisfying and hearty eating experience. Whether enjoyed on its own or added to sandwiches, salads, or pasta dishes, Hatfield Hardwood Smoked Thick Cut Bacon will add a delicious touch to any meal.",$2.21,656,Non-Vegan,Non-Gluten-Free
186,Johnsonville Original Bratwurst,Meat - Pork,"Johnsonville Original Bratwurst is a classic pork sausage made with premium cuts of meat and seasoned with the perfect blend of herbs and spices. This traditional German-style bratwurst is juicy, flavorful, and perfect for grilling or pan-frying. Whether enjoyed on a bun with sauerkraut and mustard or added to your favorite recipes, Johnsonville Original Bratwurst is sure to be a hit at any gathering.",$2.11,365,Vegan,Gluten-Free
187,Plumrose Premium Sliced Honey Ham,Meat - Pork,"Plumrose Premium Sliced Honey Ham is a high-quality, savory pork product that is delicately seasoned with sweet and tangy honey. Each slice is expertly cured and smoked to create a rich, flavorful ham with a hint of sweetness. Perfect for sandwiches, charcuterie boards, or as a tasty protein addition to any meal.",$2.24,274,Non-Vegan,Non-Gluten-Free
188,Rupari Food Services St. Louis Style Pork Ribs,Meat - Pork,"Rupari Food Services St. Louis Style Pork Ribs are a mouthwatering, tender and flavorful pork product. These ribs are expertly prepared in the St. Louis style, featuring a perfect balance of seasoning and a delicious smoky flavor. Whether grilled, smoked, or baked, these pork ribs are sure to be a hit at any barbecue or family gathering. Enjoy the taste of authentic Southern-style ribs with Rupari Food Services St. Louis Style Pork Ribs.",$2.70,744,Non-Vegan,Gluten-Free
189,Farm Promise All Natural Pork Chops,Meat - Pork,"Farm Promise All Natural Pork Chops are a high-quality, delicious option for any meal. These pork chops are sourced from humanely raised pigs on family farms, ensuring the highest standard of animal welfare and sustainability. With no added hormones or antibiotics, these pork chops are all-natural and free from artificial ingredients, delivering the pure, savory taste of premium pork. Whether grilled, roasted, or sautéed, Farm Promise All Natural Pork Chops are perfect for any culinary creation.",$3.82,980,Non-Vegan,Non-Gluten-Free
190,Salmon fillets,Seafood - Fish,"Salmon fillets are a premium seafood product, featuring tender, succulent cuts of fresh salmon. Sourced from the pristine waters of the North Atlantic, these fillets are known for their delicate, buttery texture and rich, flavorful taste. Whether grilled, baked, or seared, salmon fillets are a versatile and healthy option for any seafood lover. Enjoyed for their high protein content and omega-3 fatty acids, these fillets are perfect for creating gourmet meals that will impress any seafood enthusiast.",$4.24,853,Non-Vegan,Gluten-Free
191,Alaskan cod,Seafood - Fish,"Alaskan cod is a premium seafood product caught in the icy waters of the North Pacific. Known for its mild flavor, tender texture, and large flakes, Alaskan cod is a versatile fish that can be baked, grilled, or fried to perfection. It is a popular choice for fish and chips, fish tacos, and various seafood dishes. Sustainably sourced and packed with essential nutrients, Alaskan cod is a delicious and healthy option for seafood lovers.",$3.10,594,Non-Vegan,Gluten-Free
192,Tuna steaks,Seafood - Fish,"Tuna steaks are thick slices of premium, flavorful tuna fillets, perfect for grilling, searing, or broiling. With their firm texture and rich taste, these tuna steaks are a delicious and healthy choice for seafood lovers. Whether marinated and grilled to perfection or simply seasoned and pan-seared, tuna steaks are a versatile and delectable addition to any seafood dish.",$2.65,563,Non-Vegan,Non-Gluten-Free
193,Tilapia fillets,Seafood - Fish,"Tilapia fillets are a delicious and versatile seafood option. These boneless, skinless fillets are known for their mild, slightly sweet flavor and tender, flaky texture. Whether baked, broiled, grilled, or fried, tilapia fillets make a perfect addition to any seafood dish. They are a great source of protein and can be easily seasoned and served with a variety of sides for a healthy and satisfying meal.",$4.40,197,Non-Vegan,Non-Gluten-Free
