name,family,title,description
Yoggi-Vanilla-Yoghurt,Yoghurt,Madagaskar Vanilj Yoghurt 2%,Manufacturer and volume: YOGGI ; 1l Manufacturing country: Sverige Ingredients: MJÖLK; socker 8 %; MJÖLKPROTEIN; majsstärkelse; vaniljextrakt från Madagaskar 0;2 %; mald vaniljstång 0;02 %; syra (citronsyra); yoghurtkultur; vitamin D. Mjölken är högpastöriseradNutrition values per 100 gram:    energi ca 320 kilojoule    energi ca 80 kilokalori    fett ca 2 gram    varav mättat fett ca 1.2 gram    kolhydrat ca 11 gram    varav sockerarter ca 10 gram    protein ca 3.2 gram    salt ca 0.1 gram    vitamin D ca 0.93 mikrogram
Asparagus,Asparagus,Asparagus Green Class 1,Country and volume: Peru; 250g Description: Asparagus has a mild and nice taste and is good as an accessory; as well as a vegetable dishes by itself. Asparagus can be eaten raw; but is usually cooked by boiling in lightly salted water; or grilled. Fresh asparagus is recognized on the stiffness of the stalk; and is preferably stored in refrigerator temperature. The shelf life is maximum one week in the refrigerator; or a couple of days in room temperature.
Aubergine,Aubergine,Aubergine Class 1,Country: Spain Description: Aubergine; or eggplant as it is also called; is usually dark violet. It has a shiny peel and is 15-20 cm long. The pulp is white. Aubergine is always eaten cooked. In addition to Moussaka; Aubergine fits well in pots and gratins.
Cabbage,Cabbage,Cabbage White Import Class 1,Country and volume: Germany; ca 2.8kg Description: White cabbage can be used as a raw food; but it also fits well in for example cabbage rolls; cabbage pudding; cabbage soup; etc.
Carrots,Carrots,Carrot Class 1,Country and volume: The Netherlands; ca 170g Description: The orange red color of the carrot comes from the high content of beta carotene; which in the body is converted into vitamin A. Tastefully; carrot is sweet; with a crunchy texture. Carrots can be eaten raw; and are also used in pots; gratins; soups and wok.
Cucumber,Cucumber,Cucumber Class 1,Country: Sweden Description: Fresh cucumber. Fits well in the salad or on the sandwich.
Garlic,Garlic,Garlic Class 1,Country and volume: China; ca 50g Description: Garlic has unique flavor and smell; and is a good flavoring in pasta dishes; pots; mixes; etc.
Ginger,Ginger,Ginger Class 1,Country and volume: China; ca 150g Description: Ginger is a herb with a characteristically sharp taste. It is used for flavoring and accessories; especially in Asian cuisine. Vegetables and curries; rice; pickles; meat and fish are good for flavoring with ginger. The rich aroma also fits well with cookies; biscuits; marmalades and sweet desserts.
Leek,Leek,Leek Class 1,Country and volume: Sweden; ca 300g Description: Leek has a slightly milder onion flavor and is preferably used for soups and pots; but can also be finely shredded into a salad. It is mainly the white part that is used; although it is fine to eat the green leaves.
Brown-Cap-Mushroom,Mushroom,Forest mushroom Class 1,Country: PolandDescription: The forest mushroom is also called chestnut mushroom; and is a brown mushroom with a fuller flavor than the white mushrooms. It can be eaten raw in for example salads; but are also good to boil; pan-fry or fry.
Yellow-Onion,Onion,Onion Yellow Class 1,Country and volume: Sweden; ca 150g Description: Yellow onion is a good flavoring. Fits well both cold and hot in cooking.
Green-Bell-Pepper,Pepper,Pepper Green Class 1,Country and volume: The Netherlands; ca 210g Description: There are a variety of colors of peppers. The most common ones are green; yellow; orange; red and white. The paprika always starts as green; but then shifts color when the it becomes more ripe. A green pepper is an unripe and hence a little firmer than the other ones; making it suitable for warm dishes; for example chili con carne; pies; gratin and various pots.
Orange-Bell-Pepper,Pepper,Pepper Orange Class 1,Country and volume: The Netherlands; ca 210g Description: The orange pepper is sweeter than the green. It also contains more vitamins and antioxidants than the green. Peppers are good to eat raw in salads and as garnish; but are also good to fry; stew or gratinate; for example with filling. Paprika also fits well in pots; gratins and pies.
Red-Bell-Pepper,Pepper,Pepper Red Class 1,Country and volume: The Netherlands; ca 210g Description: The red peppers are much sweeter than the green ones. It also contains more vitamins and antioxidants than the green. Peppers are good to eat raw in salads and as garnish; but are also good to fry; stew or gratinate; for example. with filling. Paprika also fits well in pots; gratins and pies.
Yellow-Bell-Pepper,Pepper,Pepper Yellow Class 1,Country and volume: The Netherlands; ca 210g Description: The yellow pepper is much sweeter than the green. It also contains more vitamins and antioxidants than the green. Peppers are good to eat raw in salads and as garnish; but are also good to fry; stew or gratinate; for example with filling. Paprika also fits well in pots; gratins and pies.
Floury-Potato,Potato,Potato Floury Class 1,Country: SwedenDescription: Floury potatoes. Extra good for mashed potatoes and to press.
Solid-Potato,Potato,Potato Solid Class 1,Country: SwedenDescription: Solid potatoes. A good allround potato that fits well most of the time.
Sweet-Potato,Potato,Sweet potato Class 1,Country and volume: USA; ca 360g Description: Sweet potatoes are oblong; irregularly shaped tubers; often slightly larger than regular potatoes. The peel is light brown or red. There are two varieties; one with light pulp and one with yellow orange pulp. Sweet potatoes are used like regular potatoes; but the taste is very different. The sweet potato is very sweet and a bit softer than regular potatoes. It can also be used in desserts; pies and cakes.
Red-Beet,Red-Beet,Red beet Klass 1,Country and volume: Sweden; ca 100g Description: Red beets has an earthy and sweet taste and is often eaten on the side; either cooked or preserved; for example; to pölsa; pyttipanna or steak Lindström. It is also common to make Borstj; red beet soup; but the beet can also be shredded as raw food. Red beets are slightly sensitive to heat; frostbites and dehydration and should therefore be kept cool.
Beef-Tomato,Tomato,Beef tomato Class 1,Country and volume: The Netherlands; ca 200g Description: An extra large tomato suitable for well for hamburgers and on the grill or in the oven.
Regular-Tomato,Tomato,Tomato Class 1,Country and volume: Sweden; ca 80g Description: Round and fine tomatoes from Sweden. Rinse and have in the salad or on the sandwich.
Vine-Tomato,Tomato,Vine tomato Class 1,Country and volume: The Netherlands; ca 140g Description: Round tomatoes with vines in the package. Rinse and have in the salad or on the sandwich.
Zucchini,Zucchini,Zucchini Class 1,Country: Spain Description: Zucchini can be eaten raw; but is usually used in soups; pots; stews; etc.
Pumpkin-Spice-Cookies,Cookie,Pumpkin Spice Cookie Treats,These delicious cookies are flavored with the seasonal favorite pumpkin spice. Perfect for a spooky Halloween party these cookies offer a warm blend of cinnamon nutmeg and cloves.
Bloody-Beet-Dip,Snack,Vampire Beet Dip,This earthy beet dip has a deep red hue making it perfect for a ghoulish gathering. Garlic and lemon add flavor but it's the red beet juice that provides the terrifyingly delightful appearance.
Spooky-Guacamole,Dip,Haunted Avocado Guacamole,This guacamole adds a spooky twist to your usual recipe with ghost pepper for extra heat and black olives to resemble spiders. Serve it in a hollowed-out pumpkin for that jack-o-lantern effect.
